Island ,Island Name,Area miles ,Area km ,N species,,Log_Area_km,Log_N_Species
1,Albemarle ,2249,5824.91,325,,3.76528922,2.511883361
2,Charles ,64,165.76,319,,2.219479738,2.503790683
3,Chatham ,195,505.05,306,,2.703334375,2.485721426
4,James ,203,525.77,224,,2.720795802,2.350248018
5,Indefatigable,389,1007.51,193,,3.003249365,2.285557309
6,Abingdon ,20,51.8,119,,1.71432976,2.075546961
7,Duncan ,7.1,18.389,103,,1.264558113,2.012837225
8,Narborough ,245,634.55,80,,2.802465848,1.903089987
9,Hood ,18,46.62,79,,1.668572269,1.897627091
10,Seymour ,1,2.59,52,,0.413299764,1.716003344
11,Barringon ,7.5,19.425,48,,1.288361027,1.681241237
12,Gardner ,0.2,0.518,48,,-0.28567024,1.681241237
13,Bindloe ,45,116.55,47,,2.066512278,1.672097858
14,Jervis ,1.87,4.8433,42,,0.685141371,1.62324929
15,Tower ,4.4,11.396,22,,1.056752441,1.342422681
16,Wenman ,1.8,4.662,14,,0.668572269,1.146128036
17,Culpepper ,0.9,2.331,7,,0.367542274,0.84509804
